latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.097,145.146,313,1.5,1.2,2020-05-21,0020,T,59,6.0NRT,292.4,12.9,D
-34.335,140.357,304.3,1.5,1.2,2020-05-21,0025,T,51,6.0NRT,284,13.4,D
-37.686,144.017,300.9,1,1,2020-05-21,0025,T,43,6.0NRT,278.7,7.3,D
-41.187,146.774,304.6,1.2,1.1,2020-05-21,0025,T,59,6.0NRT,282.2,11.7,D
-4.236,-47.818,307.2,4.1,1.9,2020-05-21,0105,T,71,6.0NRT,291.4,48.8,N
-4.219,-47.821,306.5,4.1,1.9,2020-05-21,0105,T,68,6.0NRT,291.4,44.8,N
-4.232,-47.826,313.7,4.1,1.9,2020-05-21,0105,T,88,6.0NRT,291.4,87.2,N
-24.653,-42.513,307.1,3.1,1.7,2020-05-21,0055,T,52,6.0NRT,292.5,35.6,N
41.445,21.941,301.4,1,1,2020-05-21,0030,A,41,6.0NRT,284,6.5,N
-4.51,12.052,304,1,1,2020-05-21,0045,A,58,6.0NRT,291.6,5,N
-6.902,17.809,310,2.3,1.5,2020-05-21,0045,A,79,6.0NRT,288,37.7,N
-6.239,10.736,312.9,1,1,2020-05-21,0045,A,80,6.0NRT,297,8.5,N
-6.315,11.057,309.1,1,1,2020-05-21,0045,A,64,6.0NRT,296.2,5.6,N
-7.328,16.985,302.8,2,1.4,2020-05-21,0045,A,52,6.0NRT,290.2,16.1,N
5.658,6.529,300.4,2.7,1.6,2020-05-21,0040,A,27,6.0NRT,286,14.4,N
5.386,6.67,300.5,2.6,1.5,2020-05-21,0040,A,29,6.0NRT,283,13.5,N
5.395,6.663,300.5,2.6,1.5,2020-05-21,0040,A,29,6.0NRT,282,13.5,N
61.921,130.183,314,3.3,1.7,2020-05-21,0135,T,65,6.0NRT,292.6,65.5,D
-21.621,119.835,310.1,1.4,1.2,2020-05-21,0200,T,47,6.0NRT,298.7,6.9,D
-21.795,119.705,311.9,1.4,1.2,2020-05-21,0200,T,42,6.0NRT,299.9,7.9,D
-21.797,119.719,367.3,1.4,1.2,2020-05-21,0200,T,100,6.0NRT,303.2,170,D
-21.799,119.732,320.4,1.4,1.2,2020-05-21,0200,T,74,6.0NRT,299.6,20.2,D
